name,address,city,country,postcode,state,categories,menu item,item value,currency,item description
Buon Cibo,2631 Mcingvale Rd,Hernando,US,38632,MS,"Food and Beverage,Restaurant",Cheese Pizza,4.75,USD,
Doubledave's Pizzaworks,401 E Whitestone Blvd,Cedar Park,US,78613,TX,Pizza Place,Cheese Pizza,5.99,USD,
Greek's Pizzeria,8028 S Emerson Ave,Indianapolis,US,46237,IN,Pizza Place,Cheese Pizza,1.42,USD,
Oceano Bistro - Clayton,44 N Brentwood,Saint Louis,US,63105,MO,Restaurant,Cheese Pizza,5,USD,
Patrick Molloy's Sports Pub,50a,Hermosa Beach,US,90254,CA,"Pub,Sports Bar",Cheese Pizza,3,USD,
Suraya's - Grill and Fried Chicken,1665 Stelton Rd,Piscataway,US,8854,NJ,American Restaurant and Asian Restaurant,Cheese Pizza,6.99,USD,
Tomato & Basil,1876 Black Rock Tpke,Fairfield,US,6825,CT,"Pizza Place,Italian Restaurants,Pizza,Mediterranean Restaurants,Restaurants",Cheese Pizza,7.99,USD,
Boston's Restaurant & Sports Bar,14004 E Indiana Ave,Spokane,US,99216,City Of Spokane Valley,"Pizza Place,Restaurant,American Restaurant",Eggscellent Pizza (white),10.75,USD,
Joey's N Y Pizza,11165 S Eastern Ave,Henderson,US,89052,NV,"Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants",Garden Pizza,19.99,USD,"Broccoli, spinach, peppers and mushrooms"
Spagio,1295 Grandview Ave,Columbus,US,43212,Marble Cliff,"Restaurant,Restaurants,European Restaurants",Garden Pizza,15,USD,
Steinway Pizza,3151 Steinway St,Astoria,US,11103,Queens,Pizza Place,Grandma Pizza (round or Square),17,USD,"Fresh mozzarella, garlic tomato, and basil"
Prima Pizza,133 Back River Neck Rd,Essex,US,21221,MD,"Pizza,Restaurants",Greek Pizza,16.99,USD,
Woolworth Tower Kitchen,233 Broadway,New York,US,10279,Nyc,"Restaurant,New York City",Grilled Pizza,10,USD,
Atheneos Greek Village Cafe,1425 Gross Rd,Mesquite,US,75149,TX,"Restaurants,Texas (tx),Mesquite,Mesquite Restaurants,Greek Restaurant,Restaurant",Gyro Pita Pizza,6.99,USD,Includes mini greek salad
Gran Morsi,22 Warren St,New York,US,10007,Manhattan,"Restaurant,Italian Restaurant",Margherita Pizza,14,USD,"Mozzarella cheese, marinara and basil."
Mediterraneo Ristorante,22 Englar Rd,Westminster,US,21157,MD,Italian Restaurant,Margherita Pizza,15.95,USD,
Cristy's Pizza,1001 S Main St,Baltimore,US,43105,OH,"Pizza Place,Pizza,Sandwich Shops,Italian Restaurants,Delicatessens,Restaurants",Margherita Pizza (on Honey Wheat Dough),15.3,USD,
La Hacienda,1602 E Forsyth St,Americus,US,31709,GA,"Restaurant,Restaurants,Mexican Restaurant",Mexican Pizza,3.75,USD,Flour tortilla topped with cheese sauce and ground beef
Uno Pizzeria & Grill - Sturbridge,100 Charlton Rd,Sturbridge,US,1566,MA,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Mini Cheese and Tomato Deep Dish Pizza,2.99,USD,
Ristorante Italiano,555 Soquel Ave,Santa Cruz,US,95062,CA,"Caterers,Restaurants,Take Out Restaurants,Italian Restaurants,Fast Food Restaurants,Mediterranean Restaurants,Seafood Restaurants,Italian Restaurant",Mini Pizza,5.99,USD,
Cafe Veloce,12514 120th Ave N E,Kirkland,US,98034,Kingsgate,"italian restaurant,Italian Restaurant, Pizza Place, and Wine Bar,Restaurant",Moped Pizza,10,USD,
Salerno's Pizza Restaurant,19 Kelly St,Luzerne,US,18709,PA,"Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurants,Pizza",Neapolitan Style Pizza,9.95,USD,
Copeland's Cheescake Bistro,2001 Saint Charles Ave,New Orleans,US,70130,LA,"American Restaurant,Cajun / Creole Restaurant,Bakery",Original Herb Cheese Pizza Points,4.99,USD,8 Pizza Points
Prince Pizza,22507 Plymouth Rd,Redford,US,48239,MI,"Pizza Place,Take Out Restaurants,Caterers,Pizza Place North West Detroit,Restaurants,Pizza",Pizza  Burger,3.75,USD,
I Love Bagels,28985 Golden Lantern,Laguna Niguel,US,92677,CA,"Restaurant,Restaurants,Bagels,Bakeries,Bagel Shop",Pizza Bagel,2.95,USD,
Avellino's Pizza,775 Goodman Rd E,Southaven,US,38671,MS,"Take Out Restaurants,Caterers,Restaurants,Italian Restaurants,Pizza",Pizza Bread,4.59,USD,
Tascali's Decades Pasta & Grill,6007 Us 60 E,Barboursville,US,25504,WV,Italian Restaurant,Pizza Bread,5.99,USD,
Tavern At The Inn,200 E Main Cross St,Findlay,US,45840,OH,"American Restaurants,Bars,Party and Event Planners,Brew Pubs,Meeting and Event Planning Services,Banquet Halls and Reception Facilities,Seafood Restaurants,Caterers,Taverns,Pizza,Restaurants,Business Services,Expos Conventions,Bars Clubs,Bars Pubs,Event Planning,Banquet Rooms,Reception Centers,Party Planners,Bed Breakfasts,Hotels Motels,Conventions,Wholesale Industrial Inspection Devices,Lounge",Pizza Bruschetta,7.75,USD,"Basil pesto, fresh tomato, red onion and black olives"
Abo's Pizza,2220 Wildcat Reserve,Littleton,US,80129,CO,Pizza Place,Pizza By The Slice,2.75,USD,Made to order
Glutenfree Things,11651 W 64th Ave,Arvada,US,80004,CO,"Bakery,Bakery Restaurants,Food Products Retail,Variety Stores,Organic Foods & Products,Bakeries,Restaurant,Bakery Northwest Arvada",Pizza Dough Balls,7.99,USD,
China Kitchen,406 E Colfax Ave,Denver,US,80203,CO,"Restaurant,Chinese,Chinese Restaurant",Pizza Roll,1.2,USD,
China Moon,938 N Main St,Suffolk,US,23434,VA,Chinese Restaurant,Pizza Roll,1.25,USD,
